id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
40915350,Ladadika Art & Party Studio,244866942,Dimitris,,Thessaloniki,40.63581,22.93693,Entire home/apt,38,2,1,2020-01-02,0.15,4,172
40931870,Konstantinos Penthouse,131894407,Konstantinos,,Thessaloniki,40.64205,22.94104,Entire home/apt,45,1,2,2020-03-03,0.40,4,365
40937504,Fully equipped 1 bdrm aprt close to city center,49695533,Mint Team,,Thessaloniki,40.6138,22.95724,Entire home/apt,47,2,2,2020-02-23,0.29,36,180
40952924,EGNATIA RESIDENCE.With a unique view of Kamara.,313074691,Ioana,,Thessaloniki,40.63327,22.95123,Entire home/apt,50,2,2,2020-03-09,0.35,1,362
40957853,Spacious stylish studio up to 4ppl close to centre,49695533,Mint Team,,Thessaloniki,40.60295,22.95724,Entire home/apt,44,2,2,2020-01-05,0.29,36,180
40959577,Sophisticated Thessaloniki Apt (2BR/6people)!,319169310,Thanasis,,Kalamaria,40.58802,22.96107,Entire home/apt,90,2,4,2020-03-01,0.60,1,0
40961302,cosy and colorful apartment in city center!,238549320,Γιωργος,,Thessaloniki,40.62002,22.95856,Entire home/apt,25,1,5,2020-03-01,0.70,1,179
40964719,Lovely 1 bdrm apartment close to city centre 4ppl,49695533,Mint Team,,Thessaloniki,40.61477,22.95787,Entire home/apt,44,2,2,2020-02-23,0.35,36,163
40970358,Country Style Unique Cosy home (city center),14741646,Semahan,,Thessaloniki,40.63654,22.93776,Entire home/apt,40,2,1,2020-01-26,0.17,2,365
40978002,comfort apartments downtown 1,316469353,Ioanna,,Thessaloniki,40.63141,22.94793,Entire home/apt,45,1,6,2020-03-17,0.89,2,364
40979883,comfort apartments downtown 2,316469353,Ioanna,,Thessaloniki,40.63141,22.94793,Entire home/apt,45,1,8,2020-07-06,1.24,2,346
40984079,Perfect Stay Central Suite,319620196,Eva,,Thessaloniki,40.63751,22.94715,Entire home/apt,55,2,4,2020-07-12,0.72,1,359
40987246,Luxurious apartment in the heart of Thessaloniki,85786685,Ιωάννης,,Thessaloniki,40.63374,22.94653,Entire home/apt,129,2,1,2020-01-02,0.15,1,0
40999832,Cozy home in Thessaloniki!,319819751,Babis,,Pavlou Mela,40.67023,22.9346,Entire home/apt,30,1,2,2020-01-01,0.29,1,0
41001765,elen luxury apartments - Magenta apartment,319854823,Συμεών,,Thessaloniki,40.6401,22.94084,Entire home/apt,89,1,1,2020-02-23,0.20,1,1
41003495,Central studio for young travelers.,230131822,Κωνσταντινος,,Thessaloniki,40.62955,22.94731,Entire home/apt,19,1,35,2020-07-18,5.17,2,175
41024228,Dragoumi Convenience Spot,119416356,Fani,,Thessaloniki,40.63916,22.94172,Entire home/apt,29,1,27,2020-03-25,3.86,9,111
41030217,Luxury  studio in downtown (3),107323918,Σάκης,,Thessaloniki,40.64148,22.93464,Entire home/apt,24,1,2,2020-03-02,0.40,4,90
41031437,Luxury studio in downtown (1),107323918,Σάκης,,Thessaloniki,40.64273,22.9335,Entire home/apt,24,1,0,,,4,89
41032010,Luxury studio in  downtown (4),107323918,Σάκης,,Thessaloniki,40.64122,22.93323,Entire home/apt,20,1,3,2020-02-17,0.44,4,90
41032972,Luxury studio in downtown(2),107323918,Σάκης,,Thessaloniki,40.64223,22.93518,Entire home/apt,20,1,4,2020-02-24,0.60,4,87
41037878,8 luxury suite,320500638,Alexandros,,Thessaloniki,40.63257,22.94738,Entire home/apt,150,1,8,2020-07-19,1.19,1,194
41041505,HARRY'S EXCLUSIVE APARTMENT,241745684,Χάρης,,Thessaloniki,40.64321,22.92809,Entire home/apt,50,1,2,2020-02-02,0.35,1,175
41047018,"Thessaloniki Apartment near the sea, big balcony",6934552,Goran,,Thessaloniki,40.61369,22.9556,Entire home/apt,40,7,3,2020-01-18,0.47,1,150
41058380,Absolutely Central Luxury Apartment,320907919,ENA Trade SA,,Thessaloniki,40.63193,22.94335,Entire home/apt,120,2,0,,,1,365
41072147,Twin Superior Suites #1~Central & Luxury Stay,233279110,Panagiota,,Thessaloniki,40.6184,22.95842,Entire home/apt,55,2,17,2020-06-08,2.85,2,169
41073868,#halu! Superior City Center Apartments on Tsimiski,251290631,Halu!,,Thessaloniki,40.63172,22.94514,Entire home/apt,69,2,2,2020-02-10,0.36,31,266
41074096,Apartment in Thessaloniki,158639639,Nadi,,Pavlou Mela,40.66088,22.92992,Entire home/apt,24,1,0,,,1,152
41074312,#halu! Superior City Center Apartments on Tsimiski,251290631,Halu!,,Thessaloniki,40.63172,22.94514,Entire home/apt,69,1,3,2020-02-16,0.48,31,243
41104150,Heart Of Thessaloniki 50m2 renovated. Tzeni,247768888,Μπακο,,Thessaloniki,40.63648,22.95138,Private room,30,1,2,2020-02-22,0.34,1,90
41116074,Bouganvillia City Papajolie,105414801,Bouganvillia Homes & Villas,,Thessaloniki,40.64058,22.94063,Entire home/apt,45,2,0,,,4,202
41130333,Bright central 2 bedroom flat with harbor views,85598295,George,,Thessaloniki,40.64449,22.92526,Entire home/apt,50,2,2,2020-02-29,0.35,1,178
41140621,"Penthouse Level 9, Nilie Hospitality MGMT",239769711,Nilie,,Thessaloniki,40.62845,22.94861,Entire home/apt,60,1,15,2020-07-20,5.36,51,335
41151978,Салоники классный город для проживания !!!,322301543,Эди,,Thessaloniki,40.61046,22.95698,Private room,50,1,0,,,1,0
41177179,Twin Superior Suites#2~Luxury Stay w/free parking,233279110,Panagiota,,Thessaloniki,40.62155,22.9569,Entire home/apt,60,2,11,2020-07-13,2.08,2,153
41188455,#halu! Stylish & Renovated City Center Studios,251290631,Halu!,,Thessaloniki,40.63163,22.9504,Entire home/apt,39,2,1,2020-01-19,0.16,31,365
41196924,Stylish studio apartment in the heart of the city,323124077,Dimitrios,,Thessaloniki,40.6317,22.94994,Entire home/apt,35,2,1,2020-02-23,0.20,1,180
41210365,Bohemian Cosy Home (city center),14741646,Semahan,,Thessaloniki,40.63625,22.93728,Entire home/apt,39,1,5,2020-02-23,0.91,2,365
41211663,Areti's apartment close to downtown.,243256700,Αρετή,,Neapolis – Sykeon,40.65266,22.9411,Entire home/apt,49,1,26,2020-07-07,4.02,1,154
41223336,Galleries Elegant Suite I,33088366,HalkidikiVillas,,Thessaloniki,40.6338,22.93914,Entire home/apt,53,1,0,,,9,70
41223356,Galleries Elegant Suite II,33088366,HalkidikiVillas,,Thessaloniki,40.63391,22.93978,Entire home/apt,63,1,0,,,9,66
41226425,City Center Apartment,269762234,Anastasios,,Thessaloniki,40.64023,22.93643,Entire home/apt,35,1,7,2020-07-12,1.22,1,178
41241522,"The Bright Side - Netflix, Balcony, Study",35502397,Nick,,Thessaloniki,40.63145,22.96722,Entire home/apt,35,3,9,2020-03-16,1.44,1,0
41276730,Πανέμορφο ρετιρέ στην καρδιά του ιστορικού κεντρο,293110373,Athinodoros,,Thessaloniki,40.63221,22.94899,Entire home/apt,120,2,0,,,1,365
41281795,SKG Abbey,324231063,Christos,,Thessaloniki,40.63736,22.94868,Entire home/apt,40,1,9,2020-07-13,1.55,1,355
41293159,Διαμέρισμα πλησίον Ιπποκρατείου και Παραλίας,88947741,Thanasis,,Thessaloniki,40.61326,22.95534,Entire home/apt,30,2,13,2020-07-17,2.10,3,356
41307114,"Ultima Suites, Nilie Hospitality MGMT",239769711,Nilie,,Thessaloniki,40.63794,22.94103,Entire home/apt,60,1,10,2020-07-12,3.57,51,342
41314089,POP APARTMENT,324597045,Aris,,Thessaloniki,40.61798,22.96215,Entire home/apt,46,1,2,2020-02-02,0.32,1,342
41335829,SKG APARTMENT,324562708,Stelios,,Thessaloniki,40.6405,22.93761,Entire home/apt,45,2,1,2020-02-23,0.20,1,363
41342199,Beautiful Apartment with a View at the Old Town,269033479,Vicky,,Thessaloniki,40.63854,22.95905,Entire home/apt,30,2,1,2020-03-22,0.24,7,29
41366177,VH Executive Suites,233599991,Χρήστος,,Thessaloniki,40.63611,22.93862,Entire home/apt,59,1,0,,,19,360
41373175,Comfortable Apartment at the Old Town Thessaloniki,269033479,Vicky,,Thessaloniki,40.638,22.95905,Entire home/apt,30,2,0,,,7,35
41376550,"Elegant Souita In The Center, The Luxury Suites",217629568,Dimitris,,Thessaloniki,40.63735,22.93659,Entire home/apt,49,1,1,2020-01-14,0.16,2,356
41380017,Luxury relaxing villas panorama,272091194,Νικολαος,,Pilea – Chortiatis,40.58684,22.99875,Entire home/apt,345,2,0,,,1,179
41390702,Spacious apartment next to the City Center,41816530,Marietta,,Thessaloniki,40.62012,22.95483,Entire home/apt,45,1,6,2020-03-11,1.04,1,71
41393296,Bouganvillia City Mavili,105414801,Bouganvillia Homes & Villas,,Thessaloniki,40.64232,22.93864,Entire home/apt,45,2,2,2020-03-02,0.40,4,272
41405084,Eclectic Style (free parking),186568120,Foteini,,Thessaloniki,40.64307,22.92436,Entire home/apt,28,2,6,2020-03-08,0.98,7,355
41419417,No21 Elite Flat,73692929,Ioannis,,Thessaloniki,40.63523,22.94069,Entire home/apt,60,1,0,,,12,240
41420205,Elite Flat for 2 person w/d to Aristotelous Square,73692929,Ioannis,,Thessaloniki,40.63523,22.94069,Entire home/apt,60,1,0,,,12,248
41427313,Rooftop Minimalistic Appartment !,325905942,Suzie,,Thessaloniki,40.63593,22.95083,Entire home/apt,28,1,2,2020-05-10,0.38,9,362
41429813,Tree in the city*1,168860451,Gharitonidoy,,Thessaloniki,40.64422,22.92594,Entire home/apt,50,1,0,,,1,180
41431018,No cleaning fee! Beautifully modernized  1bedflat,325905942,Suzie,,Thessaloniki,40.63533,22.95136,Entire home/apt,32,1,10,2020-07-20,1.91,9,356
41439482,Large vintage Room in the centre!,325905942,Suzie,,Thessaloniki,40.63612,22.952,Private room,16,1,4,2020-07-13,0.84,9,362
41447102,"Υπέρεοχο διαμέρισμα 2ατόμων δίπλα Παπαγεωργίου,424",326149426,Olga,,Pavlou Mela,40.68286,22.94355,Entire home/apt,40,1,1,2020-02-02,0.17,1,364
41447642,Διαμέρισμα στη τούμπα με ιδιωτικό πάρκινγκ,195835337,Χρήστος,,Pilea – Chortiatis,40.60304,22.98063,Entire home/apt,40,2,1,2020-02-02,0.17,1,20
41456221,Eclectic wood style (free parking space),186568120,Foteini,,Thessaloniki,40.64528,22.92457,Entire home/apt,32,2,3,2020-03-11,0.60,7,350
41464203,Cozy_Lux Apartment in the center of Thessaloniki,326110047,Γιώργος,,Thessaloniki,40.6302,22.95213,Entire home/apt,40,2,0,,,1,365
41466334,"Ideal Double Apartment in Ano Poli, Thessaloniki",269033479,Vicky,,Thessaloniki,40.63969,22.95867,Entire home/apt,30,2,1,2020-02-01,0.17,7,32
41470111,Cosy house with garden,326419649,Despoina,,Kordelio – Evosmos,40.66549,22.92077,Entire home/apt,25,2,10,2020-07-17,1.80,1,13
41478435,"Penthouse Level 8, Nilie Hospitality MGMT",239769711,Nilie,,Thessaloniki,40.63512,22.9484,Entire home/apt,45,1,6,2020-06-28,2.37,51,353
41478673,"Ultima Suites, Nilie Hospitality MGMT",239769711,Nilie,,Thessaloniki,40.63794,22.94103,Entire home/apt,55,1,6,2020-06-27,2.69,51,352
41478753,"Ultima Suites, Nilie Hospitality MGMT",239769711,Nilie,,Thessaloniki,40.63794,22.94103,Entire home/apt,45,1,6,2020-06-14,0.97,51,346
41488725,Smart home - cozy central apartment,305504187,Stavros,,Thessaloniki,40.60996,22.97643,Entire home/apt,50,2,4,2020-03-03,0.68,1,175
41499204,Stylish Apartment Thessaloniki,326726556,Παρασκευη,,Thessaloniki,40.62093,22.95836,Entire home/apt,30,1,44,2020-07-20,6.95,1,169
41514631,Luxury Studio In City Center - no21 Flats,73692929,Ioannis,,Thessaloniki,40.63523,22.94069,Entire home/apt,60,1,1,2020-01-26,0.17,12,248
41515410,❀❤ Private Flat in City Center ❤♛ ❀,73692929,Ioannis,,Thessaloniki,40.63523,22.94069,Entire home/apt,55,1,1,2020-01-26,0.17,12,238
41521533,Rotonda View Central Apartment,123710995,Stefania,,Thessaloniki,40.63357,22.95347,Entire home/apt,45,2,6,2020-06-28,1.14,4,348
41523576,MODERN APARTMENT CENTER CITY,327050873,Ruth,,Thessaloniki,40.63156,22.94893,Entire home/apt,35,2,2,2020-02-23,0.35,1,90
41531781,Bright  & Central Room!,325905942,Suzie,,Thessaloniki,40.63742,22.95214,Private room,16,1,9,2020-07-02,1.72,9,365
41532514,Private Vintage Room in the centre!,325905942,Suzie,,Thessaloniki,40.63681,22.95205,Private room,15,1,8,2020-07-09,1.57,9,360
41533033,Lovely Room_ Centrally located!,325905942,Suzie,,Thessaloniki,40.63708,22.95223,Private room,12,1,8,2020-05-25,1.54,9,362
41542959,Stylish City Center Studio w/ self check in,73692929,Ioannis,,Thessaloniki,40.63523,22.94069,Entire home/apt,75,1,0,,,12,248
41549376,Angel's Pearl,36630816,Stefanos,,Thessaloniki,40.62677,22.95208,Entire home/apt,85,2,0,,,2,202
41571052,★★ Modern Studio in City Center ★★,73692929,Ioannis,,Thessaloniki,40.63523,22.94069,Entire home/apt,60,1,0,,,12,240
41571885,(C19 Prepared) Happy_place_Thessaloniki_heart,23683619,Eyal,,Thessaloniki,40.62898,22.94953,Entire home/apt,45,2,3,2020-03-07,0.52,2,0
41571959,✯Modern Flat ♥ Aristotelous Square w/d✯,73692929,Ioannis,,Thessaloniki,40.63523,22.94069,Entire home/apt,70,1,0,,,12,250
41578593,Uphill Apartment with Cozy Garden,6860117,Grigoris,,Thessaloniki,40.63286,22.96081,Entire home/apt,40,20,4,2020-03-16,0.71,2,139
41580190,OMILOS MALTEZOS 18,327687125,Bruno,,Thessaloniki,40.63546,22.94529,Entire home/apt,32,1,1,2020-05-14,0.43,5,364
41580688,OMILOS MALTEZOS 19,327687125,Bruno,,Thessaloniki,40.63431,22.94528,Entire home/apt,32,1,2,2020-02-23,0.33,5,363
41580977,OMILOS MALTEZOS 10,327687125,Bruno,,Kordelio – Evosmos,40.67596,22.90412,Entire home/apt,32,1,8,2020-06-25,2.38,5,341
41607290,Ellisgea apartment,328048276,Αθηνα,,Thessaloniki,40.63839,22.94717,Entire home/apt,54,2,2,2020-03-02,0.40,1,365
41616607,Amazing Double Apartment at the Old Town.,269033479,Vicky,,Thessaloniki,40.63826,22.95883,Entire home/apt,30,2,0,,,7,0
41627478,❣❣ Modern Flat w/ to Aristotelous Square ❣❣,73692929,Ioannis,,Thessaloniki,40.63523,22.94069,Entire home/apt,60,1,1,2020-02-09,0.18,12,240
41639894,Sunny three bedroom apartment in Kalamaria,181038870,City Apartments,,Thessaloniki,40.6068,22.95412,Entire home/apt,65,2,0,,,10,180
